news_site_title	district
Mais uma mulher assassinada depois de anos de violência doméstica em Lisboa	LISBOA
Família quer ficar com filho de mulher assassinada pelo ex-amante em Amarante	PORTO
Homem mata mulher a tiro em Ferreira do Alentejo	SETÚBAL
Mulher assassinada em Vila Real de Santo António	FARO
Ex-fuzileiro mata mulher num ataque de fúria	BRAGA
Mulher assassinada pelo marido em Vieira do Minho	BRAGA
Mulher assassinada em Corroios. Ex-companheiro é o principal suspeito do crime	SETÚBAL
Marido mata a mulher em Vieira do Minho e entrega-se às autoridades	BRAGA
Judiciária sem pistas de mulher assassinada em Leça da Palmeira	PORTO
Mulher assassinada domingo à noite numa rua da Golegã	SANTARÉM
Mulher assassinada na Golegã foi morta por ex-companheiro	SANTARÉM
Mulher assassinada a tiro num parque de estacionamento de uma discoteca na Golegâ	SANTARÉM
Homem que matou a companheira diz que a julgava a fingir desmaio	PORTO
"Júlia, a primeira transexual dirigente de um partido português: “O medo de ser assassinada acompanha-me"""	SANTARÉM
Mulher assassinada com martelo em Viseu	VISEU
Mata amiga da mulher durante uma discussão	PORTO
Homem armado mata a mulher no emprego	SANTARÉM
Homem mata mulher à pancada e entrega-se à GNR	LEIRIA
Pedreiro mata mulher à pancada em Sintra	LISBOA
Lentidão e burocracia. Ministério Público falhou e mulher foi assassinada	LISBOA
Homem mata mulher a tiros de caçadeira e suicida-se	VIANA DO CASTELO
Homem mata mulher em Évora	ÉVORA
Filho de milionário mata mulher com quatro tiros	LISBOA
Homem mata mulher e suicida-se em Salvaterra de Magos	SANTARÉM
Homem mata mulher a tiro no local de trabalho e a seguir suicida-se	SANTARÉM
Homem mata mulher no emprego e suicida-se	SANTARÉM
Homem mata mulher e fica ferido com gravidade	LEIRIA
Mulher assassinada pelo marido em Ponte de Lima	VIANA DO CASTELO
Homem mata mulher por asfixia em Santarém	LEIRIA
Homem mata mulher e suicida-se em Penafiel	PORTO
Homem mata ex-mulher num jardim em Alcáçovas, Évora	ÉVORA
Mata mulher à facada em jardim público	ÉVORA
Homem mata mulher durante discussão e suicida-se em Lisboa	LISBOA
Homem mata mulher à facada em Esmoriz	AVEIRO
Famalicão. Homem mata mulher e tenta suicidar-se	BRAGA
Homem mata mulher e faz explodir o corpo	LISBOA
Mata mulher e barrica-se em apartamento	SANTARÉM
Mulher assassinada por terminar relação	PORTO
Mata mulher à machadada	SANTARÉM
Marido assassina mulher a tiro em Sacavém e lança-lhe granada de seguida	VISEU
Mulher assassinada pelo ex-companheiro no Bombarral	LEIRIA
25 anos de prisão para homem que matou mulher e filha em Soure	COIMBRA
Mulher assassinada pelo marido em Setúbal	SETÚBAL
Mulher assassinada pelo marido em plena via pública	SETÚBAL
Mulher assassinada num prédio no centro de Guimarães	PORTO
Homem mata mulher e filha em Coimbra	COIMBRA
Homem mata mulher, avisa GNR e suicida-se em seguida	PORTO
Mulher assassinada na estação da Amadora	LISBOA
Homem mata mulher e suicida-se em Armamar	COIMBRA
Mulher assassinada pelo marido na rua	SETÚBAL
Marido assassina mulher com caçadeira em Ourém	SANTARÉM
Homem mata mulher, amiga desta e suicida-se	SETÚBAL
Homem mata mulher com faca e fere outra com gravidade	VILA REAL
Mulher assassinada em Setúbal	SETÚBAL
Milionária brasileira assassinada pelo marido no Estoril	LISBOA
Homem de 73 anos mata mulher doente terminal em Matosinhos	PORTO
Homem mata mulher e suicida-se em Coimbra	SANTARÉM
Idoso mata mulher e suicida-se em Sever do Vouga	AVEIRO
Homem mata mulher durante processo de divórcio	VISEU
Associações recordam em Lisboa e Coimbra mulheres assassinadas em Portugal	SANTARÉM
Órfãos de mulher assassinada na Suíça vêm para Portugal	SANTARÉM
Consulado quer saber se é uma jovem brasileira a mulher assassinada em Braga	BRAGA
Mulher assassinada à facada na Costa da Caparica	SETÚBAL
Advogada assassinada em Estremoz	ÉVORA
Homem matou advogada da ex-mulher em Estremoz	ÉVORA
Mulher assassinada à facada na Baixa da Banheira	SETÚBAL
Homem mata ex-mulher e um militar da GNR a tiro	COIMBRA
Mata a mulher a tiro por ciúmes	BRAGANÇA
Loulé: Homem mata a mulher e suicida-se de seguida	FARO
Homem mata mulher e suicida-se em frente ao neto de quatro anos	ÉVORA
Cinzas de corpo de emigrante assassinada divididas entre a Suíça e Portugal	AVEIRO
Desempregado mata mulher grávida	LISBOA
Detido homem que matou mulher grávida	LISBOA
Corpo de emigrante assassinada cremado quase dois meses depois, cinzas divididas com Portugal	AVEIRO
Homem que matou mulher em Boticas foi detido	GUARDA
Homem que matou mulher detido em casa de familiares	GUARDA
Homem doente mata mulher	LISBOA
Homem mata ex-mulher grávida de sete meses	LISBOA
Beja: ex-bancário mata mulher, filha e neta dentro de casa [fotos]	BEJA
Mulher assassinada em Sernancelhe	LISBOA
Homem mata mulher, filha e neta em Beja	SETÚBAL
Idoso mata a mulher e suicida-se em seguida	LISBOA
PJ detém filho adoptivo da médica que foi assassinada em Coimbra	COIMBRA
Homem mata mulher e filha à facada em Braga	BRAGA
