news_site_title	search_newspaper
Assassina mulher à facada quatro horas depois de ter alta psiquiátrica	correio_manha
Justiça falha proteção a mulher assassinada	correio_manha
"Júlia, a primeira transexual dirigente de um partido português: “O medo de ser assassinada acompanha-me"""	expresso
Homem mata mulher que tentou raptar para casar	correio_manha
Psicótico mata mulher à facada na Azambuja	correio_manha
Brasil em choque com imagens de marido que mata a mulher	diario_noticias
Mulher assassinada com martelo em Viseu	jornal_noticias
Mata amiga da mulher durante uma discussão	correio_manha
Assassina a mulher a tiro e cai morto ao seu lado	correio_manha
Assassinada a última mulher que falava língua indígena da Amazónia	diario_noticias
Homem armado mata a mulher no emprego	publico
Homem mata mulher à pancada e entrega-se à GNR	correio_manha
Português mata mulher e filho a tiro na Suíça	correio_manha
Mata mulher ao pontapé por não querer fazer sexo	correio_manha
Mulher assassinada pelo namorado testemunha contra este em tribunal	correio_manha
Pedreiro mata mulher à pancada em Sintra	correio_manha
Mulher morre assassinada pelo marido 37 dias após fazer queixa	correio_manha
Violência doméstica. Mulher assassinada pelo marido 37 dias depois de apresentar queixa	sol
Lentidão e burocracia. Ministério Público falhou e mulher foi assassinada	diario_noticias
Homem mata mulher a tiros de caçadeira e suicida-se	diario_noticias
Homem mata mulher em Évora	correio_manha
